episode,episode_length,total_env_steps,total_reward
1,75,75,-159.6590
2,91,166,-353.1473
3,91,257,-343.9720
4,103,360,-343.0482
5,105,465,-152.0595
6,95,560,-300.8278
7,128,688,-306.8711
8,116,804,-157.2601
9,127,931,-184.4463
10,109,1040,-326.7018
11,78,1118,-55.6406
12,96,1214,-180.5018
13,108,1322,-357.1708
14,111,1433,-86.9188
15,89,1522,-119.9198
16,79,1601,-115.0964
17,88,1689,-77.8236
18,96,1785,-134.9598
19,88,1873,-212.4327
20,105,1978,-280.0798
21,67,2045,-64.8023
22,68,2113,-165.7136
23,88,2201,-289.9786
24,106,2307,-317.0774
25,114,2421,-137.9244
26,101,2522,-6.5649
27,131,2653,-65.1703
28,97,2750,-278.9383
29,160,2910,-141.7248
30,92,3002,-311.9014
31,107,3109,-184.5708
32,91,3200,-19.1800
33,127,3327,-374.8853
34,132,3459,-134.0197
35,113,3572,-86.7544
36,105,3677,-228.0325
37,84,3761,-60.0951
38,117,3878,-169.3479
39,109,3987,-288.8333
40,120,4107,-147.3109
41,98,4205,-328.8347
42,108,4313,-171.5220
43,95,4408,-269.7057
44,77,4485,-54.2874
45,122,4607,-216.4519
46,98,4705,-290.4777
47,110,4815,-402.9665
48,82,4897,-26.5927
49,136,5033,-441.2044
50,96,5129,-264.0907
51,86,5215,-348.3468
52,105,5320,-333.0622
53,95,5415,-51.5747
54,113,5528,-261.1095
55,86,5614,-86.2310
56,97,5711,-216.2081
57,71,5782,-96.2632
58,76,5858,-129.5188
59,113,5971,-350.6375
60,170,6141,-47.3728
61,95,6236,-24.6097
62,123,6359,-128.3429
63,115,6474,-115.1898
64,78,6552,-64.5017
65,68,6620,-72.2907
66,109,6729,-209.9926
67,117,6846,-85.5944
68,92,6938,-299.8148
69,148,7086,-391.8682
70,86,7172,-277.9820
71,86,7258,-372.2645
72,158,7416,-146.1072
73,112,7528,-430.3908
74,147,7675,-282.4827
75,1000,8675,60.3855
76,112,8787,-289.4300
77,152,8939,-345.9810
78,139,9078,-164.5876
79,109,9187,-131.5678
80,100,9287,-110.8257
81,114,9401,-276.0482
82,121,9522,-81.4367
83,106,9628,-177.7661
84,112,9740,-331.9487
85,100,9840,-263.8970
86,66,9906,-418.8101
87,90,9996,-141.0477
88,106,10102,-553.3683
89,129,10231,-112.7457
90,99,10330,-240.4943
91,127,10457,-166.0825
92,128,10585,-336.6506
93,182,10767,-315.6261
94,84,10851,-308.6869
95,179,11030,-496.4394
96,211,11241,-359.8803
97,195,11436,-425.4582
98,969,12405,122.0237
99,736,13141,191.2102
